equation,tau,regressor,coef,ci_low,ci_high
GDP (system sum),0.1,const,-0.7666062198774912,-1.1671139230852203,-0.36609851666976206
GDP (system sum),0.1,trend,0.3368458640387687,0.081864427535502,0.5918273005420354
GDP (system sum),0.1,gfc,-2.342233405743558,-3.3464381701563624,-1.3380286413307538
GDP (system sum),0.1,pandemic,-17.92110029226528,-20.315294987661762,-15.526905596868799
GDP (system sum),0.1,trend_gfc,2.8009243877963215,-0.608132209813681,6.2099809854063235
GDP (system sum),0.1,trend_pandemic,113.03043271252615,87.14043622793045,138.92042919712185
GDP (system sum),0.25,const,0.09845560875034365,-0.2415546726366598,0.4384658901373471
GDP (system sum),0.25,trend,0.09759712603257864,-0.09712949266918569,0.29232374473434297
GDP (system sum),0.25,gfc,-1.476653827870289,-2.3351827705283053,-0.6181248852122727
GDP (system sum),0.25,pandemic,-9.74769073281072,-11.18347182049413,-8.311909645127308
GDP (system sum),0.25,trend_gfc,0.46401828158777825,-2.2986849748346896,3.226721538010246
GDP (system sum),0.25,trend_pandemic,64.90240076155399,50.14687843769046,79.65792308541752
GDP (system sum),0.5,const,0.636222934801475,0.3039209962549825,0.9685248733479674
GDP (system sum),0.5,trend,-0.019282400936558308,-0.21905575170697417,0.18049094983385755
GDP (system sum),0.5,gfc,-0.7490780308931436,-1.5007929009523955,0.0026368391661083512
GDP (system sum),0.5,pandemic,-4.844660149109453,-6.017236200299683,-3.672084097919223
GDP (system sum),0.5,trend_gfc,-1.1108876485409716,-3.491778858434407,1.270003561352464
GDP (system sum),0.5,trend_pandemic,52.06351939361116,41.16799851038202,62.9590402768403
GDP (system sum),0.75,const,1.3024313895200836,0.9418168437454286,1.6630459352947387
GDP (system sum),0.75,trend,-0.17298564307348696,-0.39583383556284313,0.049862549415869206
GDP (system sum),0.75,gfc,-1.0741911270761477,-1.853614128248588,-0.2947681259037074
GDP (system sum),0.75,pandemic,-3.901813571009524,-4.922695342520559,-2.880931799498489
GDP (system sum),0.75,trend_gfc,1.949338201322286,-0.582272147091031,4.4809485497356025
GDP (system sum),0.75,trend_pandemic,45.14162157442321,36.556409635244194,53.72683351360223
GDP (system sum),0.9,const,1.4591177445259769,1.092638067392259,1.8255974216596946
GDP (system sum),0.9,trend,-0.12260242502753105,-0.3576073764189849,0.11240252636392281
GDP (system sum),0.9,gfc,-0.5563271436241006,-1.4809891059688776,0.3683348187206763
GDP (system sum),0.9,pandemic,18.117132561168457,16.548556915622967,19.685708206713947
GDP (system sum),0.9,trend_gfc,1.0616400726224562,-1.9982063455699381,4.121486490814851
GDP (system sum),0.9,trend_pandemic,-98.86029807779488,-117.25115752839781,-80.46943862719195
P31_S14_S15,0.1,const,-0.29393181263901513,-0.5321722191994387,-0.05569140607859152
P31_S14_S15,0.1,trend,0.09562395504729293,-0.04423979763201663,0.2354877077266025
P31_S14_S15,0.1,gfc,-1.3932782510800783,-2.0384269281741325,-0.7481295739860241
P31_S14_S15,0.1,pandemic,-11.692078634628956,-13.174788351919663,-10.20936891733825
P31_S14_S15,0.1,trend_gfc,0.8114656000117968,-0.8503885184872784,2.473319718510872
P31_S14_S15,0.1,trend_pandemic,71.37879009874288,55.30997323517105,87.44760696231472
P31_S14_S15,0.25,const,0.038694941057896615,-0.2067497540265909,0.28413963614238413
P31_S14_S15,0.25,trend,0.021500613592937645,-0.12450283484047547,0.16750406202635076
P31_S14_S15,0.25,gfc,-0.3989711188888454,-0.8841807267231101,0.0862384889454193
P31_S14_S15,0.25,pandemic,-7.2764447673622445,-8.239786344468191,-6.313103190256298
P31_S14_S15,0.25,trend_gfc,-1.1965921097399068,-2.7220625439474415,0.3288783244676279
P31_S14_S15,0.25,trend_pandemic,45.336545982044036,35.45929650966229,55.213795454425785
P31_S14_S15,0.5,const,0.34809552537698857,0.07304908556000339,0.6231419651939738
P31_S14_S15,0.5,trend,0.021148399657457767,-0.14420407809230723,0.18650087740722276
P31_S14_S15,0.5,gfc,-0.6701286142878771,-1.2923232956419783,-0.04793393293377579
P31_S14_S15,0.5,pandemic,-1.748204300569804,-2.7187459402160283,-0.7776626609235798
P31_S14_S15,0.5,trend_gfc,-0.340680810954586,-2.3113453630096235,1.6299837411004512
