quarter,P31_S14_S15,P3_S13,P51G,P61,P62
1996Q1,1.4459297860208542,0.13213532431866876,-0.7387957211996791,0.1856383200108609,-0.3653501971018337
1996Q2,0.0667742937094182,0.07716408439392454,0.999477087874001,0.38140397482000143,-0.16056158902591383
1996Q3,0.6158786739397994,0.03939414643184774,0.5139287420831712,0.20236517430761375,-0.004842214074613717
1996Q4,-0.031720069499131656,0.02875348188367256,0.17238886941320347,-0.06450420022045139,0.10936134270576564
1997Q1,0.7367042339681369,0.03676048560868412,0.5508795228741568,0.31869192401998925,0.01383442773729794
1997Q2,-0.050070690587524155,0.10970193685925325,0.41163933070327946,0.302323946556099,0.1373823394814105
1997Q3,0.8135141765496177,0.1886450050312046,0.2733645037736374,0.07049380797786563,-0.017823713143405875
1997Q4,0.08113866197547023,0.29328286889818606,0.07085812902743571,0.13839550265963652,0.0038528988315025166
1998Q1,0.5206147939392809,0.30603544262800314,0.5491937878636488,-0.06462648493455794,0.20505171443845455
1998Q2,0.6498219102435607,0.3051994847687291,0.18048698452444534,0.33623452381192864,-0.04021149819423098
1998Q3,0.501391936517421,0.16474365277812836,0.013743615863618455,0.1879440925109802,0.3127042328576026
1998Q4,0.4132897030079087,0.12594624783900404,0.36888695309516595,0.0015854760159108756,-0.06584543262212206
1999Q1,1.2123651316062078,0.11363979270033463,-0.21220643919930415,0.0891878817074548,0.047549688308445255
1999Q2,0.032530269819829864,0.12452707690971736,0.14440126444313267,0.06822493065773341,0.15591035733017267
1999Q3,0.4766100377268246,0.09865442174926825,0.15298444847021372,0.220118384921287,0.018078883480993464
1999Q4,0.17215675737914038,0.13683910122655696,0.2091937118733066,0.027585727975687757,0.04817450013860625
2000Q1,1.2226722764048525,0.13317583473324668,0.3571326991881353,0.4089321124650705,0.1607602551540306
2000Q2,-0.4036509262428076,0.32382184572325773,-0.44312587047483015,-0.13589720813039605,-0.004362540873539603
2000Q3,0.4580224081598211,0.12293051487290735,0.4438977463115243,0.4998251678770994,0.0680621744052637
2000Q4,0.03826622931969297,0.18396123510171686,0.023005624349297392,0.1721052889394022,0.1480074827712778
2001Q1,0.1900180882681644,0.12071046197799769,-0.49728237269093223,-0.0988570593026935,-0.07280277095508214
2001Q2,-0.05111952960118426,0.15510945416133662,0.8950064902934953,-0.0242608421804741,0.0804946537088349
2001Q3,-0.013122163767700479,0.08636693594467731,-0.03549898812572343,0.10072754062722611,0.062225832220551114
2001Q4,0.4892192502253716,0.09958907802586262,0.1634121976753723,0.44579659941468186,0.2067309024704653
2002Q1,0.5931869912240333,0.0789576566432321,-0.3774139250712696,0.10026402870466367,-0.16569868839060575
2002Q2,-0.3509018978099476,0.16709631928477187,-1.6154253330719346,1.4047162276289198,-0.16156361120964022
2002Q3,0.10803977338666729,0.10630878804904906,-0.6534645478799386,-0.05332871804642225,-0.035474077235244116
2002Q4,-0.5002773670711087,0.05859432129006261,-0.49173921732239795,0.324369764599305,-0.12803670337379208
2003Q1,-0.01273774333060565,0.02525106842715636,0.6389118945122614,-0.5531995154794128,0.06854755210300265
2003Q2,0.2824718471156836,0.02027366075616354,-0.23480458024333903,-1.1154104269453322,0.20657440590684964
2003Q3,0.9036197353338367,0.130440638494787,-0.08147118769405245,-0.5212883264645062,0.41631116838767657
2003Q4,0.017446478707264013,0.15165724218705398,-0.049192818684862874,0.16949614503175947,-0.008354774392641734
2004Q1,0.5737459167654132,0.08776775453735944,0.1380048161076937,0.060271832682405324,0.12922224370367152
2004Q2,0.064196470154926,0.10432138130213728,0.006860738907474084,0.3102534971879778,0.134682610662357
2004Q3,0.33774654668567794,0.29701559700358393,0.10812543870957779,-0.4455665621438469,-0.2461482780004221
2004Q4,0.004003397178932139,0.12526440552229323,-0.0051850292818229424,-0.5958656288260187,-0.013102729315451846
2005Q1,-0.024718884893802362,0.10034187709698023,-0.05931108090616827,0.9042939704200545,-0.004992086604114849
2005Q2,0.13883849060801806,0.06754593515415491,-0.01963204561393203,0.07753790390785886,0.009004431109843544
