component,regressor,coef,hac_se,pvalue
P31_S14_S15,const,0.3697316815278413,0.10229219870144259,0.0003009672250807468
P31_S14_S15,trend,-0.004377795589131556,0.04736930251047416,0.9263656134910693
P31_S14_S15,gfc,-0.6052336934220942,0.21909331477741903,0.005736985650131636
P31_S14_S15,pandemic,-0.11597967545921303,1.088970885127273,0.9151825399791158
P3_S13,const,0.14823023562230983,0.02629386828958499,1.7259172830844825e-08
P3_S13,trend,-0.041827332204563285,0.013676597025524843,0.0022258598974698274
P3_S13,gfc,-0.14524016742164345,0.05561831732014128,0.009017949811182532
P3_S13,pandemic,0.07359422516023659,0.10663274464668597,0.4900902129152582
P51G,const,0.1880653425877651,0.13944447498800616,0.17744122847692634
P51G,trend,-0.005203056950020123,0.0623984493234143,0.933545896229116
P51G,gfc,-0.5413763637747756,0.15551620731219762,0.000499252399222525
P51G,pandemic,0.07490481720356569,0.17483898248403312,0.6683441158298359
P61,const,0.223087040153625,0.05409214690695268,3.7201932170723754e-05
P61,trend,-0.014239516962552889,0.03460200854859941,0.6806891942098828
P61,gfc,-0.07693409327427404,0.18750482169794666,0.6815825086861669
P61,pandemic,-0.00848140225464792,0.7065811011419546,0.9904228723353466
P62,const,0.0024882460236910686,0.05111997635543422,0.9611785928439021
P62,trend,0.11954117101056014,0.04405961731459895,0.006664318622055201
P62,gfc,-0.10854340698541877,0.062903354197048,0.08442690095958337
P62,pandemic,-0.3334236172838786,1.1652717687361458,0.7747756590469096
P71,const,-0.3119960059212717,0.09147426077282447,0.0006478401838043529
P71,trend,-0.0278022967650722,0.046991185622625095,0.554085529313068
P71,gfc,0.4781686513507834,0.22381488701942268,0.03264299389428227
P71,pandemic,-0.04217636289910712,0.7879433328269386,0.9573118971275294
P72,const,-0.004883437192708894,0.027519455928163888,0.8591518041097735
P72,trend,-0.04800703291537839,0.01815408868797354,0.008183107839700044
P72,gfc,0.08062896261722792,0.03538231950785415,0.02267940582941894
P72,pandemic,0.11707158612467906,0.3785438437679755,0.7571174927231432
GDP (system sum),const,0.6147231028012516,0.16767473712893866,0.00024621595490769197
GDP (system sum),trend,-0.021915860376158218,0.07720470316571221,0.7765123772581825
GDP (system sum),gfc,-0.9185301109101945,0.26598906101644276,0.0005538492930704389
GDP (system sum),pandemic,-0.23449042940836662,1.8493137164999207,0.8990997870574612
