quarter,gdp_growth,sum_exact,sum_approx_raw,sum_approx_reallocated,residual_exact,residual_approx_raw,residual_approx_reallocated
1996Q1,0.6595575120488713,0.6282726593680173,0.6340050345970424,0.6595575120488715,0.0312848526808539,0.02555247745182887,-2.220446049250313e-16
1996Q2,1.3642578517714314,1.6325510291951453,1.4695681023042597,1.3642578517714312,-0.26829317742371384,-0.10531025053282828,2.220446049250313e-16
1996Q3,1.3667245226878182,1.4657020991171177,1.560624845028507,1.3667245226878182,-0.0989775764292995,-0.19390032234068877,0.0
1996Q4,0.2142794242830588,-0.5333883313497475,-0.19886891774213336,0.21427942428305882,0.7476677556328063,0.41314834202519213,-2.7755575615628914e-17
1997Q1,1.6568705942082649,2.0694026530800635,1.9756497627462817,1.6568705942082644,-0.41253205887179867,-0.3187791685380168,4.440892098500626e-16
1997Q2,0.910976863012518,0.9840662101852518,1.0271900421632933,0.9109768630125179,-0.07308934717273374,-0.11621317915077534,1.1102230246251565e-16
1997Q3,1.3281937801889192,1.5020906771233478,1.576367573226742,1.3281937801889194,-0.17389689693442856,-0.24817379303782272,-2.220446049250313e-16
1997Q4,0.587528061392231,0.15394216063429572,0.3139588401604211,0.587528061392231,0.4335859007579353,0.27356922123180993,0.0
1998Q1,1.5162692539348295,1.463105595112169,1.7779686894484557,1.516269253934829,0.0531636588226605,-0.2616994355136262,4.440892098500626e-16
1998Q2,1.4315314051544328,0.7773932019143055,1.05944822225646,1.431531405154433,0.6541382032401273,0.3720831828979727,-2.220446049250313e-16
1998Q3,1.1805275305277505,1.776440861645595,1.627844760743095,1.180527530527751,-0.5959133311178444,-0.44731723021534453,-4.440892098500626e-16
1998Q4,0.8438629473358681,0.8768974607113222,1.0683851654002696,0.8438629473358688,-0.033034513375454155,-0.22452221806440154,-6.661338147750939e-16
1999Q1,1.2505360551231381,0.7146365459462976,0.8992394127724503,1.250536055123138,0.5358995091768406,0.3512966423506878,2.220446049250313e-16
1999Q2,0.525593899160586,0.1699447369698926,0.21989356449223443,0.5255938991605861,0.35564916219069337,0.30570033466835156,-1.1102230246251565e-16
1999Q3,0.9664461763485866,1.2071639566322954,1.1867181871766284,0.9664461763485864,-0.24071778028370872,-0.2202720108280417,2.220446049250313e-16
1999Q4,0.5939497985932977,0.3974806555446437,0.6711394884723619,0.5939497985932979,0.19646914304865398,-0.07718968987906427,-2.220446049250313e-16
2000Q1,2.282673177945336,3.5270181300966224,3.296549767433856,2.2826731779453366,-1.2443449521512862,-1.01387658948852,-4.440892098500626e-16
2000Q2,-0.6632146999983157,-1.9642400033411975,-1.815644806079044,-0.6632146999983157,1.3010253033428818,1.1524301060807283,0.0
2000Q3,1.5927380116266154,2.6696303357332614,2.3809624546231527,1.5927380116266157,-1.076892324106646,-0.7882244429965373,-2.220446049250313e-16
2000Q4,0.5653458604813874,0.08506581392070683,0.2569564610806684,0.5653458604813874,0.4802800465606805,0.30838939940071897,0.0
2001Q1,-0.358213652702546,0.08456419615072386,-0.12609948814788394,-0.3582136527025461,-0.4427778488532699,-0.23211416455466208,1.1102230246251565e-16
2001Q2,1.0552302263820086,0.03905564419015371,0.45426019591788835,1.0552302263820086,1.0161745821918549,0.6009700304641202,0.0
2001Q3,0.20069915689903053,0.29768786507816525,0.2142710261155736,0.20069915689903053,-0.09698870817913471,-0.013571869216543075,0.0
2001Q4,1.4047480278117535,1.994305914974416,1.705398993588848,1.4047480278117535,-0.5895578871626626,-0.3006509657770946,0.0
2002Q1,0.22929606311005385,0.9582928995988731,0.8443276039674471,0.22929606311005385,-0.7289968364888193,-0.6150315408573932,0.0
2002Q2,-0.5560782951778309,-0.9646257299008204,-0.943758152382415,-0.5560782951778308,0.4085474347229895,0.3876798572045841,-1.1102230246251565e-16
2002Q3,-0.5279187817258884,-0.7934696592409877,-0.6958375634517736,-0.5279187817258884,0.2655508775150993,0.16791878172588526,0.0
2002Q4,-0.7370892018779313,-0.07834451532826588,-0.2765870585833928,-0.7370892018779313,-0.6587446865496653,-0.4605021432945385,0.0
2003Q1,0.16677325623240202,1.4878918906740601,1.165150764257469,0.16677325623240213,-1.3211186344416581,-0.998377508025067,-1.1102230246251565e-16
2003Q2,-0.8408950934099745,-0.707240964619263,-0.4777253130773923,-0.8408950934099744,-0.13365412879071148,-0.3631697803325822,-1.1102230246251565e-16
2003Q3,0.8476120280577416,-0.7283665724882178,-0.5612789956190832,0.8476120280577419,1.5759786005459593,1.4088910236768248,-3.3306690738754696e-16
2003Q4,0.2810522728485729,-0.9587916480525052,-0.7626801998776416,0.2810522728485727,1.239843920901078,1.0437324727262145,2.220446049250313e-16
2004Q1,0.9890125637965428,1.7077903859130779,1.7192563673697494,0.9890125637965428,-0.7187778221165351,-0.7302438035732066,0.0
2004Q2,0.6203146982148721,1.2385317446490696,1.1492039294706273,0.6203146982148718,-0.6182170464341975,-0.5288892312557553,2.220446049250313e-16
2004Q3,0.05117274225457065,-1.1696979005454273,-1.0955802062221223,0.051172742254570525,1.220870642799998,1.146752948476693,1.249000902703301e-16
2004Q4,-0.48488558472206805,-0.4451170456612489,-0.34956867735777697,-0.48488558472206816,-0.039768539060819175,-0.13531690736429108,1.1102230246251565e-16
2005Q1,0.9156137951129493,1.2058965398210229,1.147501841344864,0.9156137951129492,-0.2902827447080736,-0.23188804623191484,1.1102230246251565e-16
2005Q2,0.2732947151659431,0.9091085247016045,0.8022392922809818,0.27329471516594295,-0.6358138095356614,-0.5289445771150387,1.6653345369377348e-16
2005Q3,-0.3791302400358305,-0.520415096971261,-0.546299480895514,-0.3791302400358306,0.14128485693543047,0.16716924085968343,1.1102230246251565e-16
2005Q4,0.14913809022955404,0.08756694206036153,0.14632795124809966,0.149138090229554,0.06157114816919251,0.00281013898145438,5.551115123125783e-17
2006Q1,0.8560164669428498,0.8309276681066011,0.9253636216050507,0.8560164669428498,0.025088798836248705,-0.06934715466220087,0.0
2006Q2,0.8990282387075007,0.11332440712317784,0.21283360823512384,0.8990282387075007,0.7857038315843229,0.6861946304723768,0.0
2006Q3,-0.13117104625650153,1.244067949035284,1.1783729275565547,-0.13117104625650164,-1.3752389952917854,-1.309543973813056,1.1102230246251565e-16
2006Q4,0.6529696214314422,-0.8340858840771257,-0.7456593592969758,0.6529696214314422,1.487055505508568,1.398628980728418,0.0
2007Q1,1.185981398137454,1.8670396795835904,1.815317636501501,1.1859813981374538,-0.6810582814461363,-0.6293362383640468,2.220446049250313e-16
