quarter,prob_regime0,prob_regime1,prob_low_growth
1996Q1,0.9956978959268773,0.004302104073121581,0.004302104073121581
1996Q2,0.9968690009673573,0.0031309990326416487,0.0031309990326416487
1996Q3,0.9972805914591469,0.0027194085408519795,0.0027194085408519795
1996Q4,0.9983728481590562,0.0016271518409426626,0.0016271518409426626
1997Q1,0.9953587375915571,0.0046412624084417,0.0046412624084417
1997Q2,0.998315372781287,0.0016846272187119038,0.0016846272187119038
1997Q3,0.9977555406499995,0.002244459349999378,0.002244459349999378
1997Q4,0.9986653135353124,0.001334686464686577,0.001334686464686577
1998Q1,0.9963748483120286,0.003625151687970371,0.003625151687970371
1998Q2,0.9967519387140497,0.0032480612859493814,0.0032480612859493814
1998Q3,0.9980387348247306,0.001961265175268309,0.001961265175268309
1998Q4,0.998712188961396,0.001287811038603056,0.001287811038603056
1999Q1,0.9981275823764645,0.001872417623534772,0.001872417623534772
1999Q2,0.9988810273094285,0.0011189726905708062,0.0011189726905708062
1999Q3,0.9982989400092955,0.0017010599907039958,0.0017010599907039958
1999Q4,0.9946688457525749,0.005331154247424472,0.005331154247424472
2000Q1,0.9493055367303257,0.05069446326967365,0.05069446326967365
2000Q2,0.9758519388621547,0.0241480611378447,0.0241480611378447
2000Q3,0.9901815592996049,0.009818440700394431,0.009818440700394431
2000Q4,0.9980543359274132,0.0019456640725860628,0.0019456640725860628
2001Q1,0.9973643281758164,0.0026356718241827147,0.0026356718241827147
2001Q2,0.9984084012014267,0.0015915987985723103,0.0015915987985723103
2001Q3,0.9986879828554692,0.0013120171445298713,0.0013120171445298713
2001Q4,0.9974161566477971,0.0025838433522019305,0.0025838433522019305
2002Q1,0.9983486139779161,0.0016513860220830423,0.0016513860220830423
2002Q2,0.9948087173250881,0.005191282674911035,0.005191282674911035
2002Q3,0.9935765970159014,0.006423402984097987,0.006423402984097987
2002Q4,0.9915549880936729,0.008445011906326464,0.008445011906326464
2003Q1,0.9970387453776922,0.0029612546223072617,0.0029612546223072617
2003Q2,0.9909666334829348,0.009033366517064765,0.009033366517064765
2003Q3,0.9981105397521858,0.0018894602478138685,0.0018894602478138685
2003Q4,0.9988451007450014,0.001154899254998349,0.001154899254998349
2004Q1,0.9987097390879283,0.0012902609120713441,0.0012902609120713441
2004Q2,0.9989362971605321,0.0010637028394675457,0.0010637028394675457
2004Q3,0.9984903735819094,0.0015096264180901996,0.0015096264180901996
2004Q4,0.9967112009094353,0.0032887990905641033,0.0032887990905641033
2005Q1,0.998568381181434,0.0014316188185655087,0.0014316188185655087
2005Q2,0.9987651233934668,0.0012348766065327758,0.0012348766065327758
2005Q3,0.9974417956678767,0.0025582043321227873,0.0025582043321227873
2005Q4,0.9986820948202463,0.0013179051797531554,0.0013179051797531554
2006Q1,0.9988261665791069,0.0011738334208925543,0.0011738334208925543
2006Q2,0.9987592272204904,0.0012407727795090855,0.0012407727795090855
2006Q3,0.9983634193461417,0.0016365806538576973,0.0016365806538576973
2006Q4,0.9988818829589493,0.0011181170410499114,0.0011181170410499114
2007Q1,0.9983319010936074,0.0016680989063920224,0.0016680989063920224
2007Q2,0.9988785689830113,0.0011214310169879295,0.0011214310169879295
2007Q3,0.9988293447914205,0.0011706552085785867,0.0011706552085785867
2007Q4,0.9977512548292017,0.0022487451707973996,0.0022487451707973996
2008Q1,0.9946609778558071,0.00533902214419196,0.00533902214419196
2008Q2,0.9668322908330398,0.03316770916695907,0.03316770916695907
2008Q3,0.876248980273427,0.12375101972657185,0.12375101972657185
2008Q4,0.21490417190211494,0.7850958280978838,0.7850958280978838
2009Q1,0.004761446113257094,0.9952385538867417,0.9952385538867417
2009Q2,0.8970173534902476,0.10298264650975111,0.10298264650975111
2009Q3,0.9889173750927724,0.011082624907226443,0.011082624907226443
2009Q4,0.9976842302217451,0.002315769778253744,0.002315769778253744
2010Q1,0.9987089785445544,0.0012910214554444103,0.0012910214554444103
2010Q2,0.998895598342576,0.0011044016574227574,0.0011044016574227574
2010Q3,0.9982912225746314,0.0017087774253674698,0.0017087774253674698
2010Q4,0.991005409857758,0.008994590142240789,0.008994590142240789
2011Q1,0.970886754677789,0.029113245322209887,0.029113245322209887
2011Q2,0.8925236438720168,0.10747635612798204,0.10747635612798204
2011Q3,0.7357181248701303,0.26428187512986845,0.26428187512986845
2011Q4,0.3993537646673956,0.6006462353326033,0.6006462353326033
2012Q1,0.3554108653020282,0.644589134697971,0.644589134697971
2012Q2,0.11540594714331098,0.884594052856688,0.884594052856688
2012Q3,0.1245746169407204,0.8754253830592786,0.8754253830592786
2012Q4,0.14171363179315674,0.8582863682068422,0.8582863682068422
2013Q1,0.9228010751832798,0.07719892481671939,0.07719892481671939
2013Q2,0.990709583163858,0.009290416836141017,0.009290416836141017
2013Q3,0.996180123715325,0.0038198762846740363,0.0038198762846740363
2013Q4,0.996921505507618,0.0030784944923810727,0.0030784944923810727
2014Q1,0.9936078156448634,0.00639218435513566,0.00639218435513566
2014Q2,0.9984364620917102,0.0015635379082888934,0.0015635379082888934
2014Q3,0.9987380309938132,0.0012619690061858853,0.0012619690061858853
2014Q4,0.9988905697284312,0.001109430271567912,0.001109430271567912
2015Q1,0.9989786142359641,0.0010213857640349916,0.0010213857640349916
2015Q2,0.9987458987676997,0.0012541012322995558,0.0012541012322995558
2015Q3,0.9988426402721049,0.0011573597278942787,0.0011573597278942787
2015Q4,0.999000003672562,0.0009999963274371611,0.0009999963274371611
2016Q1,0.9989801301603921,0.001019869839607081,0.001019869839607081
2016Q2,0.998967061162423,0.0010329388375761527,0.0010329388375761527
2016Q3,0.9984626953112882,0.0015373046887110285,0.0015373046887110285
2016Q4,0.9983834501637112,0.0016165498362880526,0.0016165498362880526
2017Q1,0.9986874647733947,0.001312535226604508,0.001312535226604508
2017Q2,0.9989237881481332,0.0010762118518660832,0.0010762118518660832
2017Q3,0.9989603922538253,0.0010396077461738628,0.0010396077461738628
2017Q4,0.9987854406024169,0.0012145593975824017,0.0012145593975824017
2018Q1,0.9989740039811523,0.001025996018847211,0.001025996018847211
2018Q2,0.9987698938746864,0.0012301061253131098,0.0012301061253131098
2018Q3,0.9989695186340403,0.0010304813659592683,0.0010304813659592683
2018Q4,0.9989881991928695,0.0010118008071301938,0.0010118008071301938
2019Q1,0.9988367129312834,0.0011632870687162398,0.0011632870687162398
2019Q2,0.9982656066169094,0.0017343933830903865,0.0017343933830903865
