rank,component,relation,alpha,stderr,pvalue
1,P31_S14_S15,ce1,-0.4141130522227456,0.13191831902315118,0.001694314093106275
1,P3_S13,ce1,-0.25556468635397045,0.04196335096084066,1.1277834222056526e-09
1,P51G,ce1,-0.6286825135518178,0.17966611323287338,0.00046670657805192306
1,P61,ce1,-0.43165182746510505,0.3195913360093573,0.17681179834619565
1,P62,ce1,-0.15607880404857036,0.5118387629911391,0.7604137969665052
1,P71,ce1,-0.31023469290662237,0.2882959006419184,0.28188335121896557
1,P72,ce1,-0.6624996247599698,0.3430353423644096,0.05344759626035045
2,P31_S14_S15,ce1,-0.6995271518453834,0.15740580362921772,8.82604964669298e-06
2,P31_S14_S15,ce2,0.2762459095626999,0.07183682082763172,0.0001203245218981408
2,P3_S13,ce1,-0.3520179722271543,0.049819175043796654,1.595612530991275e-12
2,P3_S13,ce2,0.1112164882709411,0.022736462499387378,1.0004619774850454e-06
2,P51G,ce1,-0.5501465611801425,0.22225196551572401,0.01331137818415562
2,P51G,ce2,0.03871335347098139,0.10143129577960784,0.7027056371424183
2,P61,ce1,-1.098188958326659,0.38238947163588477,0.004079964078959275
2,P61,ce2,0.5624080975098811,0.1745148102987792,0.0012699046358455313
2,P62,ce1,-1.230061172431785,0.6121431522651215,0.04449114319175673
2,P62,ce2,0.8228651123563832,0.279369736923529,0.0032250197865990593
2,P71,ce1,-1.0162608889203295,0.34020364355777327,0.002815331111440056
2,P71,ce2,0.5730200075069606,0.15526205275591784,0.00022366977307131108
2,P72,ce1,-1.1262178000417071,0.41892838137404576,0.007181035705870142
2,P72,ce2,0.4472283761111253,0.19119042867864722,0.019326241706018266
3,P31_S14_S15,ce1,-1.089077893014936,0.21155689222952045,2.6339119507667874e-07
3,P31_S14_S15,ce2,0.49145972389091025,0.1067331393594059,4.1332805100768866e-06
3,P31_S14_S15,ce3,0.07599591646138718,0.022786317707622558,0.0008525166366539771
3,P3_S13,ce1,-0.30115933670791334,0.06857032553216649,1.1232425184415362e-05
3,P3_S13,ce2,0.08311878549074546,0.03459460022226261,0.016276668505983416
3,P3_S13,ce3,0.03306385552048185,0.007385555754883714,7.576058630442972e-06
3,P51G,ce1,-0.5869142002846888,0.307320011900325,0.0561612990089313
3,P51G,ce2,0.05902624988635731,0.15504684963184864,0.7034262793846848
3,P51G,ce3,0.0003299948885144156,0.0331007482444668,0.9920456944561944
3,P61,ce1,-1.811087878532267,0.5204263976286841,0.0005013993448881315
3,P61,ce2,0.9562610148162959,0.26256172814333384,0.0002704832345830077
3,P61,ce3,0.16401068354711207,0.05605395841670416,0.003434139246647261
3,P62,ce1,-2.1446884145056724,0.8379468024574475,0.010483596647960614
3,P62,ce2,1.328166210912913,0.4227548055746084,0.0016797352161126433
3,P62,ce3,0.25141360187669587,0.09025336807352438,0.005342178254794883
3,P71,ce1,-1.3829967147141313,0.4679941891262059,0.003125090861354707
3,P71,ce2,0.775629340713622,0.23610901295150263,0.0010196515253044769
3,P71,ce3,0.17667967420275657,0.05040660300105741,0.0004564531527084803
3,P72,ce1,-1.7822433982616743,0.5728773047098733,0.0018643057866611912
3,P72,ce2,0.8096606766277702,0.2890238770056371,0.00508873073612115
3,P72,ce3,0.12267760611656187,0.06170332781426707,0.04679127755616719
