model,rmse_full,mae_full,rmse_ex_pandemic,mae_ex_pandemic,dm_stat_vs_ar1,dm_pvalue_vs_ar1
SUR mean model,5.9669064571538915,1.9934564711918448,0.7347085650996482,0.5970872151320991,1.363454382859186,0.172739351796372
AR(1) components (summed),4.987737185580539,1.585155633255322,0.6170605238075716,0.48877976492956865,1.0486280780171977,0.29434932780756906
AR(1) on GDP growth (benchmark),4.486193340109316,1.5378204428550304,0.6522355744589833,0.5133090690160484,,
