equation,ljung_box_p_lag4,ljung_box_p_lag8,arch_lm_p_lag4,jarque_bera_p,cusum_p,cusum_stable
P31_S14_S15,6.3192157112365e-08,2.1400085013448323e-06,3.9513450123483924e-07,0.0,0.8716419959341936,True
P3_S13,0.019494461884069683,0.0065510446713217116,0.026320448062527608,1.4973541101519447e-133,0.4702661541940203,True
P51G,0.09409447491659995,0.3536678441748519,0.04353747940176551,0.001728754066748705,0.2960979381547374,True
P61,0.005213293775042375,0.030055341719577515,0.00013255634753361653,0.0,0.9515700367129916,True
P62,2.9842046497732354e-05,5.890660756892765e-05,5.209948124706689e-09,0.0,0.9292526891570604,True
P71,0.000679456765706355,0.011209649006459016,2.2595700921172017e-08,0.0,0.9196068071405211,True
P72,0.0001691006273297308,3.7779457045997917e-06,3.6487808020147593e-06,5.852464790787371e-259,0.993748196389834,True
GDP (system sum),8.016421918439633e-06,0.00010742208556240384,2.2305015097325202e-05,0.0,0.773298731153913,True
